Path length,ge-bfs,ge-bidir,ge-aStar,ge-jps
0,2.4099968750511676,1.4764756434932946,0.18173689342259905,0.5178183639190245
25,14.34547465095268,9.526981256690295,0.8421551736806158,2.879738327996355
50,33.42030429912725,23.415110303832687,2.9238473797041644,6.722696784500662
75,57.54492631765717,40.755906414209385,7.4598467036035,11.345482544302518
100,82.55996803190025,60.005868794356466,15.211864609944024,16.389939946903574
125,108.38808339273656,80.78169935850478,26.046640377717214,22.51611785471985
150,133.6630385368851,102.94266641587977,40.147035911856385,29.781852537599615
175,159.4398893044502,125.6161366756413,60.32604151766696,37.216600469707
200,177.09220254088623,144.84255757052506,84.65226604587139,45.905580560356825
225,194.70748060927835,165.5577106528172,114.06402649258682,54.97613693648423
250,213.57302517616714,188.0783632663858,147.52848065540218,65.38314908390518
275,230.17950930233712,206.804873754222,194.62377527546585,80.97565208956514
300,241.66770647330773,221.316363951673,238.57765393913994,93.06062071845693
325,254.03068348793997,236.6370522639953,304.0687283687928,111.41849856340151
350,262.39038722515664,245.8341143014091,358.52285695079246,129.04129100493898
375,271.479976061446,255.1020891258138,440.44543677240523,150.3040840922484
400,285.44065415125067,271.04306247556013,523.7966364405419,173.44345961412654
425,293.8897854343286,277.11356997335156,565.1029033873175,200.82643387368626
450,303.93924621703246,280.26884196292934,591.0012070191586,232.70099647534488
475,271.78602818509046,254.2549318888955,649.2772764073728,280.3756645185325
500,255.13644439048187,243.87931272089904,665.7362404593356,315.44176713784844
525,243.44381021032206,239.479915033466,624.3411097998331,324.67872170337404
550,247.64104258582736,248.91113443633196,666.9348509803033,363.75110177700117
575,248.15794488705248,250.5028563081109,716.6570532535725,384.23650272244294
600,254.12694648532013,260.22754308385885,765.4093540439768,413.9707376416593
625,254.82985675484417,264.7596340528191,747.8235265388024,403.8859120704819
650,244.8681708804365,254.22298639921843,695.7357693114886,386.7499196164232
675,256.2418964007142,263.11586215927633,746.0922494163113,426.74992937747123
700,264.4728488958451,265.00935220880336,759.6091020079447,439.56237530135496
725,259.5376629535021,259.7772507769601,701.0199514251979,426.9770847153494
750,258.5094773688023,256.9926323904913,714.748147949276,456.4191942009311
775,258.81281500014506,258.45174681820316,735.2610919698056,447.6629974242187
800,251.62681797774655,257.5604125469128,698.642670412091,413.3666719101258
825,248.44343969938964,260.1757748926402,759.9331800427384,457.5070980688229
850,254.05623255278348,259.5827196722008,754.9665526933096,502.47083583151357
875,256.2960055408051,261.1277343007124,752.2949865435528,503.0682137201105
900,252.11605485686235,253.7917414286839,785.8330142857347,538.0641845713662
925,231.17273524102856,227.8000894580822,714.7486596385645,429.2959114459893
950,197.19113826554042,213.42339081604186,592.1588071429798,344.5196290817492
975,176.22613286748006,208.83338041968278,496.57214055924146,352.65792587438557
1000,178.443219310482,208.48996068999685,511.6026655170681,358.4832400000044
1025,175.02494363639164,199.95564818189226,497.04960090900687,376.23001272786746
1050,168.6827550723717,183.06409130429012,453.2716115940956,393.87762318832284
1075,165.37817500159144,179.09417500067502,438.88865000009537,360.4737249985337
