Path length,ge-bfs,ge-bidir,ge-aStar,ge-jps
0,1.6777802724928714,1.1818621747134672,0.23189998231231,0.4324264963634251
25,8.051722300621735,6.296956676625093,1.6499995834785637,2.1125430424602194
50,16.849441453240086,14.163691275414683,5.585033516883978,5.107883176935786
75,27.244970625814695,23.5117403815238,12.534824818527571,9.680177682257177
100,37.46193744148953,33.22080743302288,22.153624232145948,16.11721835371035
125,48.429690422378556,43.42626729724713,34.43791605620317,24.57996456077401
150,59.824932095386906,53.949350650561165,49.92419644493416,34.3423336704127
175,69.8198233381886,63.768301942017445,72.10665382393303,48.83473311053965
200,75.69406496109099,71.17102997105032,89.30171993240627,61.86671617177896
225,83.1495471006518,79.03805408969633,110.4285612540177,76.88349896661558
250,88.60576959721229,87.28090869483071,130.6231805195085,90.9916360689041
275,97.47925446957645,97.30227118621043,152.90217681529444,106.51192705205801
300,102.62226194371466,103.99036259224332,174.17835632413593,122.63987584502499
325,110.50587110057415,113.60947675161216,195.68802756696167,143.91769324628862
350,119.10491885378103,124.20665064978752,221.99730685351003,164.08359383434248
375,129.55685177224535,137.09796380246846,258.02946028467886,192.56831949523516
400,136.37587182134467,145.04668334810899,274.12949354233274,203.54880054998046
425,142.92279843646384,156.47772949911223,296.4048643849164,228.09127394091843
450,146.96250052631953,165.55307515929266,327.52000000012276,247.03178060844357
475,152.51345613584576,173.67169880464496,358.1376432269693,258.41737338622727
500,155.14273820996817,178.27093073780372,364.2270119018203,259.3022152574937
525,173.3356528050885,195.61114587448273,416.688165770632,302.16535271093676
550,180.86506711413656,206.70929766520007,461.2542497755666,337.5597051665431
575,186.50467314901329,212.78334176235825,488.6973145989015,353.5293717930352
600,197.3900569739353,224.65266111114417,529.0186630611443,383.5571248223631
625,207.12421441944716,235.36468940527737,565.5186512658111,413.02476798158455
650,220.05785909081678,246.31291587734282,619.5392511211809,447.48172185563504
675,224.55114545513666,252.57974624194327,609.1742105941177,452.0536369364562
700,231.15017221005687,256.88133939384795,649.2620693264365,468.7437285294334
725,239.6599186167882,261.16981935805507,684.62580527159,482.754866393728
750,256.3832597485646,280.8766904603986,746.2474726358716,545.3477518829093
775,241.90036826988486,262.566031461306,661.0304650613331,510.30703440207634
800,247.30204498230046,267.78978406734973,687.5135081867675,531.617163645812
825,249.63973584877994,270.80244396230523,681.7580989621439,535.0209053766052
850,258.13263919545176,280.4413872367473,698.506220604367,568.4768191951304
875,244.86814684809005,268.47304810874726,673.7690422265407,536.1813637611119
900,218.42380166297994,244.27951995224964,628.6829516627868,501.52295629411157
925,212.38332923530228,236.23387732287574,592.9430230877113,464.067064890811
950,226.5166009685558,250.86108879763555,638.2230827110519,508.84010221231034
975,208.67586042648577,236.42353783726233,626.0691845545898,448.2901803103768
1000,207.0805065528072,238.9628048289439,618.2703865523482,442.9204946553913
1025,212.71112165547592,245.83587447139368,646.4935586267794,466.34888626755753
1050,212.63153697672436,242.6377637528005,645.3855557378741,467.3770409836578
1075,217.76780094753838,249.74590965710354,668.7349746207509,486.6298549237351
1100,225.37818772554158,259.90796740368097,685.8521225336092,515.1573185106398
