Path length,ge-bfs,ge-bidir,ge-aStar,ge-jps
0,0.5999957316642185,0.44034844120915273,0.1502898318590306,0.25161779372812176
25,3.5072542668822124,2.5700724655898433,1.0211362095583951,1.002971805881521
50,9.349659653319414,6.578135614361066,3.4650236172243716,2.0846132144764864
75,18.588775296610304,12.903218350106927,7.471439781800555,3.5174049782690813
100,31.084656610432837,21.396862663328648,13.814448789705555,5.274303957320458
125,46.72487675104322,31.57156045812797,22.36149491159633,7.175528104454418
150,64.22247699291871,43.15101551205146,30.57625275173099,9.199874383194171
175,85.63267706075321,57.50361396511505,44.242487866431475,12.167975228948471
200,108.22219651371041,72.46257363900243,56.659129178825744,14.90609360071399
225,135.6545188772131,91.62545779223014,71.87113974982931,18.349767393050698
250,165.6060937736679,112.77839976186534,89.63564634038411,22.26715023733477
275,194.9434417511322,133.52432273158942,109.65071168640247,26.0479003668487
300,226.50921536623537,158.44718679514034,134.74477979316748,31.807727725644195
325,258.6373693719506,184.2091613040213,158.24638316154088,36.348024624932776
350,289.5765700874453,210.889818677528,185.49661474833044,42.118299028772036
375,313.70620897688144,238.7531200466738,218.30546069714913,48.839913208928216
400,338.2385234082683,266.03872462549015,250.88266587105304,55.12996058114403
425,370.9091168897453,296.01079976895187,281.4511986114619,60.547844747808014
450,393.91620713266934,323.758094447446,320.6327757779322,68.82966682618745
475,416.7645370488145,354.0723530209316,365.9903351756253,76.79457770488301
500,438.3730873691391,378.9449940938156,403.78331190344966,84.3285597456769
525,456.11114458903893,405.93692991818415,449.99962707974123,93.76156373202313
550,476.3115536179912,428.51111999096037,506.31743288486643,103.47485528732884
575,495.9088502577931,450.45619409885563,562.6974158779241,112.94662299748047
600,515.3496726298516,474.417775665486,617.0917005600605,122.10502274613523
625,532.7727512595525,494.73206119136813,680.5315187018105,131.32430392428654
650,550.2021693209497,514.8750759153816,739.3256764044311,141.38772154375584
675,565.6129860609458,530.6166284492224,806.8964439583863,147.87581341572596
700,580.4959964045845,553.7009078481227,875.9427768102477,155.4435773160337
725,592.9822479063052,572.8652066801891,950.6504163005773,162.84041590170037
750,599.6178618166014,586.3612400396669,998.7056232422183,165.49144282190537
775,609.4533630154866,599.2882148330566,1072.4855400782612,170.017112033438
800,616.9310013901296,611.126909683629,1163.5735395972474,181.91836749783013
825,624.2623657347184,624.4590990050285,1242.3028276775685,187.15089203784532
850,629.8161377272346,633.471468126076,1304.0407770777124,193.94034864750918
875,639.769971167418,641.2407655416802,1428.3443614626597,206.94674763228767
900,641.1174966957263,650.7471295020817,1499.1448375004775,214.58644832349543
925,646.9345632497964,656.0180920213893,1617.6324945842448,228.2202277565573
950,657.854830995107,659.9306086736484,1769.2646899875062,242.23144088050694
975,678.3274810812705,650.4741601347348,2091.7476696908243,271.72423629350527
1000,700.3496681893241,644.8546902127504,2408.9449946168584,312.76725318040974
1025,702.1662450987918,640.0240602935938,2658.471969607268,362.39267475515896
1050,720.9893606557954,607.2978836058593,2572.3620090157283,368.2599098362395
1075,725.79384770716,609.6864174310493,2429.4537591741446,345.6970041288969
1100,713.3090683557565,600.7310253155382,1950.2337303802938,287.6588063296638
1125,734.1424933373928,643.7986133396626,2182.0275266706944,356.8426533361276
